id_eggnog,id_string_HS,id_string_MM,id_string_DM,annotation,id_gene_HS,id_gene_MM,id_gene_DM,gene_HS,gene_MM,gene_DM
3B94A,9606.ENSP00000286713,10090.ENSMUSP00000028241,"7227.FBpp0074440,7227.FBpp0078620,7227.FBpp0290937",regulation of acid-sensing ion channel activity,ENSG00000148175,ENSMUSG00000026880,"FBgn0030993,FBgn0250821,FBgn0037986",STOM,Stom,"Mec2,CG14644,CG14736"
3B94T,9606.ENSP00000364289,10090.ENSMUSP00000030014,"7227.FBpp0070652,7227.FBpp0112173",primary miRNA processing,ENSG00000136937,ENSMUSG00000028330,"FBgn0022942,FBgn0038887",NCBP1,Ncbp1,"Cbp80,CG7907"
3B95V,9606.ENSP00000393139,10090.ENSMUSP00000031221,"7227.FBpp0070911,7227.FBpp0080603",double-strand break repair via break-induced replication,ENSG00000097046,ENSMUSG00000029283,"FBgn0028360,FBgn0032677",CDC7,Cdc7,"Cdc7,CG5790"
3B96H,9606.ENSP00000396615,"10090.ENSMUSP00000055803,10090.ENSMUSP00000109253","7227.FBpp0078861,7227.FBpp0081961",beta-galactosidase activity,ENSG00000166105,"ENSMUSG00000045594,ENSMUSG00000026200","FBgn0001089,FBgn0260746",GLB1L3,"Glb1,Glb1l","Gal,Ect3"
3B972,9606.ENSP00000418563,10090.ENSMUSP00000078602,7227.FBpp0071455,U2 snRNP-associated SURP,ENSG00000163714,ENSMUSG00000032407,FBgn0034572,U2SURP,U2surp,CG9346
3B974,9606.ENSP00000410339,10090.ENSMUSP00000005817,"7227.FBpp0085338,7227.FBpp0305890",protein import into mitochondrial matrix,ENSG00000130204,ENSMUSG00000005674,"FBgn0033074,FBgn0016041",TOMM40,Tomm40l,"tomboy40,Tom40"
3B97G,9606.ENSP00000333275,"10090.ENSMUSP00000100927,10090.ENSMUSP00000109087",7227.FBpp0089291,steroid hormone receptor activity,ENSG00000120798,"ENSMUSG00000005897,ENSMUSG00000005893",FBgn0015239,NR2C1,"Nr2c1,Nr2c2",Hr78
3B97V,9606.ENSP00000434442,"10090.ENSMUSP00000028691,10090.ENSMUSP00000064893",7227.FBpp0304160,Adp-ribosylation factor,ENSG00000149182,"ENSMUSG00000027255,ENSMUSG00000054277",FBgn0037182,ARFGAP2,"Arfgap2,Arfgap3",ArfGAP3
3B984,9606.ENSP00000256509,10090.ENSMUSP00000086623,"7227.FBpp0078557,7227.FBpp0297081",Cell adhesion molecule,ENSG00000134121,ENSMUSG00000030092,"FBgn0037240,FBgn0264975",CHL1,Cntn6,"Cont,Nrg"
3B98I,9606.ENSP00000398837,10090.ENSMUSP00000103789,7227.FBpp0082406,Histone-lysine N-methyltransferase,ENSG00000272333,ENSMUSG00000006307,FBgn0003862,KMT2B,Kmt2b,trx
3B98K,9606.ENSP00000325485,"10090.ENSMUSP00000015858,10090.ENSMUSP00000023762",7227.FBpp0070899,Ceramide synthase,ENSG00000139624,"ENSMUSG00000015714,ENSMUSG00000023021",FBgn0040918,CERS5,"Cers2,Cers5",schlank
3B98S,"9606.ENSP00000378414,9606.ENSP00000392617","10090.ENSMUSP00000021052,10090.ENSMUSP00000023759,10090.ENSMUSP00000030791",7227.FBpp0073572,chromatin disassembly,"ENSG00000066117,ENSG00000108604","ENSMUSG00000078619,ENSMUSG00000023018,ENSMUSG00000028949",FBgn0025463,"SMARCD1,SMARCD2","Smarcd2,Smarcd1,Smarcd3",Bap60
